model,variant,mean_accuracy,mean_brier_score,mean_ece,total_missing,runs
GPT-OSS-120B,variant0_neutral_baseline,0.814676134740881,0.16363071504322083,0.10401087338923982,19,6
GPT-OSS-120B,variant1_predicted_event,0.8017006048335164,0.17138129854967374,0.10142413918126135,25,6
GPT-OSS-120B,variant2_key_attribute,0.8129883488296322,0.17301589573723786,0.11547874745206554,13,6
GPT-OSS-120B,variant3_reasoning_type,0.8043035691534136,0.18342130656967526,0.12343871377507099,19,6
GPT-OSS-120B,variant4_credibility,0.815076667542796,0.17476739164069408,0.1402943111430258,24,6
GPT-OSS-120B,variant5_key_conditions,0.8090346134616376,0.16384026272942745,0.0983785796417941,20,6
GPT-OSS-120B,variant6_step_by_step_reasoning,0.8166512629100925,0.17001644733473356,0.11383883834747414,11,6
GPT-OSS-120B,variant7_uncertainty_language,0.8131131123288847,0.17656994354044864,0.1344514498629423,18,6
GPT-OSS-120B,variant8_temporal_anchors,0.8168719303378382,0.1620166388471105,0.10260354672183152,15,6
Qwen2.5-7b-instruct,variant0_neutral_baseline,0.7433544303797469,0.1960188399789018,0.10437415611814943,0,6
Qwen2.5-7b-instruct,variant1_predicted_event,0.7202995272872058,0.20540627172642345,0.11322907112426465,2,6
Qwen2.5-7b-instruct,variant2_key_attribute,0.7195584584592609,0.20843144926151488,0.12391952816712988,2,6
Qwen2.5-7b-instruct,variant3_reasoning_type,0.725210970464135,0.20070744641350116,0.097877215189879,0,6
Qwen2.5-7b-instruct,variant4_credibility,0.7311950361148299,0.20070613879251,0.1015811013753898,1,6
Qwen2.5-7b-instruct,variant5_key_conditions,0.6950421940928271,0.22257017784809965,0.15127784810127196,0,6
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,0.730955436834534,0.202627211189097,0.11696920102899955,2,6
Qwen2.5-7b-instruct,variant7_uncertainty_language,0.7242766622920088,0.20154790376775625,0.10630090982601847,3,6
Qwen2.5-7b-instruct,variant8_temporal_anchors,0.7388067773208777,0.19788908922505477,0.10516372603073797,8,6
Qwen3-32B,variant0_neutral_baseline,0.7145723466818641,0.20820145231674558,0.10577238571206725,3,6
Qwen3-32B,variant1_predicted_event,0.6952996955341965,0.22370655525817873,0.12587427615651703,5,6
Qwen3-32B,variant2_key_attribute,0.6983122362869199,0.22371245796930275,0.1319899249325574,0,6
Qwen3-32B,variant3_reasoning_type,0.6927215189873418,0.2208901368185657,0.11623953586497805,0,6
Qwen3-32B,variant4_credibility,0.7301279217734914,0.21086989283370217,0.08595012423816158,5,6
Qwen3-32B,variant5_key_conditions,0.6908227848101266,0.22549506540084416,0.12163291139240429,0,6
Qwen3-32B,variant6_step_by_step_reasoning,0.6957124063467618,0.23043888261421575,0.14672663776184006,2,6
Qwen3-32B,variant7_uncertainty_language,0.696570895382509,0.23199236290809952,0.12943271005862408,31,6
Qwen3-32B,variant8_temporal_anchors,0.7122183490757995,0.22023925325388463,0.12594411328149951,3,6
