dataset,feature,mean_abs_shap,mean_value,mean_value_correct,mean_value_incorrect,correct_minus_incorrect,value_shap_correlation
combined_mean__judge_only,completeness,0.07324556980480017,0.7423017677951795,0.7762608371399272,0.6379338172094355,0.13832701993049168,0.7800724663458518
combined_mean__judge_only,plausibility,0.05961798272731192,0.7916217293444622,0.8230605015381747,0.6949995224906886,0.12806097904748603,0.8628647506913906
combined_mean__judge_only,informativeness,0.026771531053223586,0.740052869736472,0.7692503340480409,0.6503189762200363,0.11893135782800457,0.6655319759124576
combined_mean__judge_only,non_hallucination,0.023663741447542273,0.6855822704679734,0.7142646281967621,0.5974314774138095,0.11683315078295253,-0.8915309893433455
combined_mean__judge_only,conciseness,0.01945596246520329,0.911126793585295,0.9170077064106149,0.8930527170279821,0.023954989382632852,0.6304080636171434
combined_mean__judge_only,source_consistency,0.01077273823072813,0.7189883241114132,0.751987508156987,0.617570432623436,0.13441707553355098,0.3957217275987684
combined_mean__full,completeness,0.04601514703473039,0.7423017677951795,0.7762608371399272,0.6379338172094355,0.13832701993049168,0.7869180257996107
combined_mean__full,plausibility,0.04548312843829325,0.7916217293444622,0.8230605015381747,0.6949995224906886,0.12806097904748603,0.8265687376265128
combined_mean__full,informativeness,0.029807488843506494,0.740052869736472,0.7692503340480409,0.6503189762200363,0.11893135782800457,0.7528621061795222
combined_mean__full,conciseness,0.018856254450544608,0.911126793585295,0.9170077064106149,0.8930527170279821,0.023954989382632852,0.7295176884578091
combined_mean__full,source_consistency,0.016342023204684402,0.7189883241114132,0.751987508156987,0.617570432623436,0.13441707553355098,0.7493748153583877
combined_mean__full,evidence_words,0.015155848445230454,251.4049282565882,254.72458904322426,241.20246394804698,13.522125095177273,0.3905021606813693
combined_mean__full,temperature,0.012809768419803367,0.0833079339773047,0.0902085081259128,0.06210008595167606,0.028108422174236744,0.9179821897363416
combined_mean__full,model_Qwen3-32B,0.008430216084076892,0.33337240926568507,0.3148130884683509,0.390411613026454,-0.07559852455810312,-0.9557636266209452
combined_mean__full,non_hallucination,0.00799362531617995,0.6855822704679734,0.7142646281967621,0.5974314774138095,0.11683315078295253,-0.2812392970969264
combined_mean__full,rationale_words,0.00780426323875041,52.229039669886525,51.630185513191016,54.06952535574444,-2.439339842553423,-0.9384003454076049
combined_mean__full,cat_finance,0.006149048645926925,0.21712932570571133,0.2364749386283832,0.15767357463470538,0.07880136399367782,0.940531118576063
combined_mean__full,cat_artificial-intelligence,0.0038720019060144643,0.09174247397542905,0.08091731145707094,0.1250119377327858,-0.04409462627571485,-0.9523151182152259
combined_mean__full,cat_politics,0.00231941532401387,0.13926662290162242,0.14427767937602934,0.12386591538535001,0.02041176399067933,0.8970362926926421
combined_mean__full,cat_economy-business,0.002094937110092883,0.1987714526868611,0.19095118237469313,0.2228058447139719,-0.03185466233927878,-0.7249818015635683
combined_mean__full,cat_health-pandemics,0.0015804083103186232,0.07087592609959674,0.06460333737298406,0.09015375799828097,-0.025550420625296916,-0.8340312901534477
combined_mean__full,cat_sports-entertainment,0.0012610575304144195,0.045554721935665385,0.04853795717970231,0.03638620953108586,0.01215174764861645,0.8829640032735344
combined_mean__full,model_Qwen2.5-7b-instruct,0.001112797056637134,0.33339585482509615,0.32435287902799786,0.3611880431668418,-0.03683516413884391,0.5684096587122882
combined_mean__full,cat_space,0.0010141480874017001,0.039224420894682546,0.03545570367608216,0.050806990736319356,-0.015351287060237195,-0.8625572281038805
combined_mean__full,cat_technology,0.0007817808012192179,0.04811028791146957,0.049408035797520275,0.044121860376277335,0.00528617542124294,0.863846476505371
combined_mean__full,cat_geopolitics,0.0006638438858540213,0.16897214667541968,0.1671483173301016,0.17457740425938306,-0.007429086929281459,0.14909923271914985
combined_mean__full,cat_environment-climate,0.0005304220431743304,0.027853324580324485,0.02364749386283832,0.040779295196256324,-0.017131801333418004,-0.7518238936274235
combined_mean__full,variant_variant4_credibility,0.0004266219524362328,0.11108506048954328,0.11261303253472546,0.10638907458695444,0.006223957947771017,0.8736058916489071
combined_mean__full,cat_law,0.0003696265301270621,0.06960986589140017,0.0688915819893726,0.07181740043930857,-0.00292581844993596,0.49391573228486446
